Model,Script,Variable,Variable Description,Function Computed for Cells,What do cells represent?,Cell size,Years of data,Units,Transformation?,Data Path,Data Source,Exception for small sheds,Calculation,Notes,Script Consolidated?,Coverage Level
New UTOE,Metrics,ELEV_MEAN,Mean elevation across the watershed,,,,,m,none,,HawkinsDrive/GIS_Data/DEMs,,Zonal Statistics (mean) of raster cells in the watershed then divided by 100,,,
New UTOE,Metrics,DD_LAT_Y,Latitude of the point,,,,,Decimal Degrees,none,,GIS point shapefile,,Use ArcMap to calculate longitude in DD,,,
New UTOE,Metrics,SQ_KM,Area of the watershed in sq km,,,,,sq km,0,,GIS watershed shapefile,,Use ArcMap to calculate area,,,
Anthropogenic,Metrics,AreaKM,Area of the watershed in sq km,,,,,sq km,0,,GIS watershed shapefile,,Use ArcMap to calculate area,,no,Full
Anthropogenic,Anthro,HydrAlt_km,Total length of Hydraulic alteration in the watershed (pipelines and canals),,,,,km,,,hydro alt shapefile,,,,no,Full
Anthropogenic,Anthro,RdDens,Road Density in the watershed,,,,,km/area,,,State Road layers,,,,no,Full
Anthropogenic,Ownership,BLMown,Percent BLM ownership of the watershed,,,,,%,,,BLM ownership,,,,no,Full
Anthropogenic,Ownership,Privown,Percent Private ownership of the watershed,,,,,%,,,Private ownership,,,,no,Full
Anthropogenic,UT_Grazing,OilFld_Pct,Percent Oil and Gas field of the watershed,,,,,%,,,Oil and gas fields (polygons),,,,no,UT only
Anthropogenic,none,OilGasWells,Count of oil and gas wells in the watershed,,,,,,,,UT oil and gas wells (points),,,,no,UT only
Anthropogenic,DamsSpringsMines,Mines,Count of mines in the watershed,,,,,,,,GIS_Stats/Mines/Data/mines,,,,no,Full
Anthropogenic,DamsSpringsMines,Dams,Count of dams in the watershed,,,,,,,,,,,,no,Full
Anthropogenic,Landcover,Urban_WS,Percent urban landcover of the watershed,,,,,%,,,GIS_Stats/LandCover/Data/urb30westmid,,,,no,Full
Anthropogenic,Landcover,AG_WS,Percent ag landcover of the watershed,,,,,%,,,GIS_Stats/LandCover/Data/ag30westmid,,,,no,Full
AREMP2014MMI,Metrics,ELVmean_WS,Mean elevation across the watershed,Zonal Statistics (mean) of raster cells in the watershed then divided by 100,elevation,,,m,none,HawkinsDrive/GIS_Data/DEMs,http://ned.usgs.gov/).,,,,,
AREMP2014MMI,Metrics,ELVmin_WS,Minimum elevation in the watershed,Zonal Statistics (mean) of raster cells in the watershed divided by 10,elevation,,,m,none,HawkinsDrive/GIS_Data/DEMs,http://ned.usgs.gov/).,,,,,
AREMP2014MMI,Metrics,KFACT,Soil Erodibility across the watershed,Zonal Statistics (mean) of raster cells in the watershed,,489x489,,,none,GIS_StatsSoils/Data/kfact_usgs,NRCS (http://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/),Raster value at the centroid point,,,,
AREMP2014MMI,Climate,PMIN_WS,Average of minimum precip at the watershed,Zonal Statistics (mean) of raster cells in the watershed,30 year mean minimum precip,900x900,1971-2000,m/10000,none,GIS_Stats/Climate/Data/pmin_usgs,PRISM(http://www.prism.oregonstate.edu),,,,,
AREMP2014MMI,Climate,RH_WS,RH mean at the watershed,Zonal Statistics (mean) of raster cells in the watershed,30 year mean relative humidity,2km,1961-1990,,none,GIS_Stats/Climate/Data/rhmean_usgs,PRISM(http://www.prism.oregonstate.edu),,,,,
AREMP2014MMI,Climate,TMAX_WS,Average of max temperature at the watershed,Zonal Statistics (mean) of raster cells in the watershed,30 year mean maximum temperature,900x900,1971-2000,deg C,none,GIS_Stats/Climate/Data/tmax_usgs,PRISM(http://www.prism.oregonstate.edu),,,,,
AREMP2014MMI,Climate,TMEAN_PT,Temperature mean at the point,Raster value at the point,,,,deg C,none,GIS_Stats/Climate/Data/tmean_usgs,,,,,,
AREMP2014MMI,Climate,TMEAN_WS,Average of mean temperature at the watershed,Zonal Statistics (mean) of raster cells in the watershed,,,,deg C,none,GIS_Stats/Climate/Data/tmean_usgsut,,,,,,
AREMP2014MMI,Climate,PMIN_PT,Precip min at the point,Raster value at the point,,,,m/10000,none,GIS_Stats/Climate/Data/pmin_usgs,,Raster value at the point,,,,
AREMP2014OE,Metrics,WSA_SQKM,Area of the watershed in sq km,Use ArcMap to calculate area,,,,sq km,,,GIS watershed shapefile,,,,,
AREMP2014OE,Climate,TMAX_WS,Average of max temperature at the watershed,Zonal Statistics (mean) of raster cells in the watershed,30 year mean maximum temperature,900x900,1971-2000,deg C,none,GIS_Stats/Climate/Data/tmax_usgs,PRISM(http://www.prism.oregonstate.edu),,,,,
AREMP2014OE,Metrics,ELVmean_WS- same as MMI,Mean elevation across the watershed,Zonal Statistics (mean) of raster cells in the watershed then divided by 100,elevation,,,m,none,HawkinsDrive/GIS_Data/DEMs,http://ned.usgs.gov/).,,,,,
AREMP2014OE,Metrics,ELVmax_WS,Max elevation across the watershed,Zonal Statistics (mean) of raster cells in the watershed then divided by 100,elevation,,,m,none,HawkinsDrive/GIS_Data/DEMs,,,,,,
AREMP2014OE,Climate,PMIN_WS- same as MMI,Average of minimum precip at the watershed,Zonal Statistics (mean) of raster cells in the watershed,30 year mean minimum precip,900x900,1971-2000,m/10000,none,GIS_Stats/Climate/Data/pmin_usgs,PRISM(http://www.prism.oregonstate.edu),,,,,
